refFile;testFile;Mos;HRC;videoDegradationType;height;width;ssim;msssim;psnr;mse;vmaf;rmse;snr;wsnr;uqi;pbvif;niqe;nave
bus;bus_dirac_1;0.9141;TC01;dirac;1088;1920;0.988945305;0.989643276;35.4381997;19.12875557;96.578282;0.025286706;26.79542319;36.87506658;0.5406248;0.949004658;12.06903458;2.767697811
bus;bus_dirac_2;1.761;TC02;dirac;1088;1920;0.974971592;0.976611495;33.36748594;30.63534355;84.86658;0.031400771;24.9027126;32.68435492;0.463893253;0.87032346;12.57054043;2.613219023
bus;bus_dirac_3;2.545;TC03;dirac;1088;1920;0.943597257;0.947831929;30.03303901;65.6945343;63.763768;0.042854388;22.19462089;27.58075001;0.374464656;0.723254411;13.20503712;2.422097206
bus;bus_h264_1;-0.060209;TC04;h264;1088;1920;0.99564296;0.996586025;37.0678958;12.97851849;99.495892;0.019569746;29.00108818;42.20405083;0.628144744;1.007650098;11.34223843;3.208202839
bus;bus_h264_2;0.29378;TC05;h264;1088;1920;0.989606321;0.99156636;36.40678015;15.09151459;96.263097;0.021436588;28.20862494;38.27700716;0.566043869;0.97868936;12.10196781;3.01813221
bus;bus_h264_3;0.42517;TC06;h264;1088;1920;0.983925521;0.986696959;35.74128381;17.67764282;91.555204;0.023307892;27.48779199;35.9997444;0.528300543;0.955871004;12.20079708;2.938868284
bus;bus_h264_4;1.7095;TC07;h264;1088;1920;0.966953874;0.971422672;33.94185902;27.05617905;79.559013;0.028384471;25.78702536;31.97644785;0.455797079;0.902009874;12.43713474;2.848153591
bus;bus_mpeg2_1;0.037114;TC08;mpeg2;1088;1920;0.996195614;0.9970451;37.03974967;13.12377548;99.901824;0.020159632;28.75292383;43.41031814;0.611269376;1.00872656;11.29200172;3.480610371
bus;bus_mpeg2_2;0.61435;TC09;mpeg2;1088;1920;0.98292315;0.986179709;34.48119109;23.7065773;87.80914;0.026568464;26.36076075;35.67154896;0.475321698;0.929370781;13.64737511;3.307391405
bus;bus_mpeg2_3;1.5951;TC10;mpeg2;1088;1920;0.970678329;0.97516048;32.7881834;35.06941986;78.487569;0.031447208;24.89531778;32.66298348;0.417192007;0.883667325;13.58629131;3.287702084
laser;laser_dirac_1;1.0207;TC01;dirac;1088;1920;0.980317771;0.983653724;36.73688618;13.89438343;87.944894;0.026022072;16.8652963;28.40080571;0.165558469;0.789894634;14.21230507;2.892991781
laser;laser_dirac_2;1.352;TC02;dirac;1088;1920;0.974847138;0.978058398;35.95049563;16.74718285;80.342073;0.028141889;16.19542225;26.61066655;0.149015661;0.75272351;14.30157471;2.921693325
laser;laser_dirac_3;2.2344;TC03;dirac;1088;1920;0.962010503;0.963182449;34.39572582;24.17735863;63.796898;0.032511507;14.95736009;23.44073645;0.126681775;0.680096541;14.83193111;2.96585536
laser;laser_h264_1;-0.22218;TC04;h264;1088;1920;0.986299038;0.989694655;38.61895529;9.31599617;94.72266;0.020959396;18.76722121;33.39702156;0.268693459;0.859829031;9.265450478;3.466150045
laser;laser_h264_2;-0.1119;TC05;h264;1088;1920;0.982705176;0.986472249;37.85641049;10.70663643;91.848351;0.02236511;18.17428856;31.31056624;0.187016138;0.836169059;11.98344517;2.976752996
laser;laser_h264_3;0.14479;TC06;h264;1088;1920;0.980413437;0.983954489;37.55589034;11.48989677;89.290923;0.023244612;17.84274376;30.17944326;0.170004941;0.821744431;12.77649403;2.85330987
laser;laser_h264_4;0.65214;TC07;h264;1088;1920;0.978679776;0.98200798;37.32394486;12.16272736;87.164862;0.023916744;17.59857536;29.40030732;0.162665497;0.809909922;13.33619022;2.83700943
laser;laser_ip_1;-0.14271;TC11;ip;1088;1920;0.980867565;0.98461926;37.66717956;11.15259838;90.732519;0.022746863;18.02283611;30.24718035;0.173758639;0.833865728;12.48099422;2.959037304
laser;laser_ip_2;1.7064;TC12;ip;1088;1920;0.976238251;0.974167943;36.2807204;17.04343987;88.110603;0.025400318;17.14643406;26.43966791;0.170876364;0.828002581;12.4724226;2.960054874
laser;laser_ip_3;2.7149;TC13;ip;1088;1920;0.976600528;0.973698735;36.9781991;29.59823227;86.8602;0.024602561;17.82553878;28.49615719;0.393573965;0.858358519;8.529997826;4.889322281
laser;laser_ip_4;3.1201;TC14;ip;1088;1920;0.943756938;0.889971852;30.04458766;104.9001846;70.689531;0.047351716;12.46380587;15.68264202;0.155641958;0.763833244;12.59068775;2.943310261
laser;laser_mpeg2_1;0.15281;TC08;mpeg2;1088;1920;0.988360524;0.991468787;38.36862737;9.484185219;95.102989;0.021583594;18.47899998;33.74754267;0.270755347;0.861494612;10.42381477;3.524967194
laser;laser_mpeg2_2;0.13569;TC09;mpeg2;1088;1920;0.98136127;0.984657168;37.43751652;11.76184273;89.826458;0.023626687;17.69471311;30.50192531;0.172449419;0.82648978;14.96509266;2.844242096
