refFile;testFile;Mos;HRC;height;width;videoDegradationType;ssim;msssim;psnr;mse;vmaf;rmse;snr;wsnr;uqi;pbvif;niqe
pa01_25fps;pa2_25fps;44.5104;TC01;432;768;WirelessDistortions;0.964613497;0.980578542;36.20068625;16.75202751;85.117127;0.023282863;23.9366989;32.21960898;0.671294084;0.829805116;15.00490189
pa01_25fps;pa3_25fps;70.1054;TC02;432;768;WirelessDistortions;0.936166883;0.959447265;33.04467684;33.30864334;71.788277;0.030590803;21.51864607;27.08536699;0.605096639;0.767402543;15.52800655
pa01_25fps;pa4_25fps;66.428;TC03;432;768;WirelessDistortions;0.938194811;0.92956686;31.71604904;83.02156067;76.800882;0.03910641;20.30262066;24.65568415;0.626750215;0.807838335;14.99516964
pa01_25fps;pa5_25fps;75.1225;TC04;432;768;WirelessDistortions;0.912876904;0.874877214;28.47650356;131.5325775;65.419908;0.050415787;17.78776897;20.1286568;0.625154494;0.799398674;14.93561745
pa01_25fps;pa6_25fps;73.8803;TC05;432;768;IPDistortions;0.922684371;0.936404824;31.07345363;56.63298035;66.235611;0.036615061;20.07150181;24.04887403;0.625324698;0.77522267;15.33006096
pa01_25fps;pa7_25fps;63.2564;TC06;432;768;IPDistortions;0.959370017;0.959911942;36.36217293;35.47238541;83.570917;0.026640152;23.76863917;32.5519024;0.704098768;0.844661856;14.29366207
pa01_25fps;pa8_25fps;61.2726;TC07;432;768;IPDistortions;0.949299872;0.951200485;35.29279788;43.85161972;80.218971;0.02910449;22.93481208;31.28808009;0.66541393;0.814927688;14.56133938
pa01_25fps;pa9_25fps;40.5551;TC08;432;768;H264Compression;0.962426066;0.981187642;36.25284048;16.00360298;84.29085;0.023582251;23.7897711;33.24097743;0.657426244;0.811097614;14.6122179
pa01_25fps;pa10_25fps;52.6111;TC09;432;768;H264Compression;0.940465868;0.968969822;34.31509879;25.03879356;74.66885;0.028143544;22.25599998;30.54357355;0.589654051;0.752843638;15.1868372
pa01_25fps;pa11_25fps;60.2534;TC10;432;768;H264Compression;0.91892451;0.95597434;32.97854688;34.20357132;65.907253;0.031939439;21.1703306;28.57450326;0.536812269;0.700865628;15.76751328
pa01_25fps;pa12_25fps;68.7186;TC11;432;768;H264Compression;0.90162009;0.944133162;32.13672247;42.21969986;59.676464;0.034885571;20.4305183;27.2749532;0.499197016;0.664617926;15.67853737
pa01_25fps;pa13_25fps;42.9784;TC12;432;768;MPEG2Compression;0.977351606;0.990135908;37.24849678;12.83480072;92.218452;0.020959015;24.82916457;37.58342266;0.755882772;0.879367976;13.76306629
